Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2017,,,,,,,,,,,,100.000,,,
2018,100.700,101.068,101.367,101.815,102.252,102.169,102.200,102.132,102.549,102.463,102.132,102.169,101.918,101.562,102.274
2019,102.705,102.640,103.517,103.956,104.225,104.146,104.083,104.167,104.346,104.079,104.359,104.273,103.875,103.532,104.218
2020,105.014,105.221,105.054,104.728,104.113,104.596,104.651,104.864,104.923,104.336,104.815,105.101,104.785,104.788,104.782
2021,105.658,105.962,106.992,107.566,107.843,108.737,108.996,109.194,109.213,110.209,111.212,111.635,108.601,107.126,110.077
2022,112.623,113.324,114.952,115.115,116.416,117.342,116.960,117.169,117.290,117.924,118.370,117.821,116.276,114.962,117.589
2023,118.841,119.083,119.099,119.459,119.166,119.462,119.390,119.875,120.174,120.315,120.745,120.579,119.682,119.185,120.180
2024,121.182,121.624,122.807,123.233,123.653,124.020,123.610,123.877,124.289,124.313,124.443,124.559,123.468,122.753,124.182
2025,126.080,,,,,,,,,,,,,,
